Original_Language,NER_Result,Normalized_Language
"Italian, Serbian, Croatian","Italian, Serbian, Croatian","Italian, Serbian, Croatian"
"Italian, Slovene","Italian, Slovene","Italian, Slovene"
"Italian, Slovenian, German","Italian, Slovenian, German","Italian, Slovenian, German"
"Italian, Venetian","Italian, Venetian","Italian, Venetian"
Italian/ English,"Italian, English","Italian, English"
Italien,Italien,Italian
Japanese,Japanese,Japanese
Jersey,Jersey,Jersey
"Jersey French, English","Jersey French, English","Jersey French, English"
Jèrriais,Jèrriais,Jèrriais
"Jèrriais, English","Jèrriais, English","Jèrriais, English"
Jérriais,Jérriais,Jèrriais
Kalenjin,Kalenjin,Kalenjin
Kashmiri,Kashmiri,Kashmiri
Kenyan,Kenyan,Kenyan
Korean,Korean,Korean
Kosovo,Kosovo,Kosovo
Kurdish,Kurdish,Kurdish
Ladakhi,Ladakhi,Ladakhi
Latvian,Latvian,Latvian
Le Masurier (?),Le Masurier,NA
Lebanese,Lebanese,Lebanese
"Lingala, French","Lingala, French","Lingala, French"
Macedonian,Macedonian,Macedonian
Maghi,Maghi,Maghi
Majorcan,Catalan,Catalan
Malagasy,Malagasy,Malagasy
Malayalam,Malayalam,Malayalam
Malaysian,Malaysian,Malaysian
Malese,Malese,Maltese
Mallorqui,Catalan,Catalan
Mallorquin,Catalan,Catalan
Mallorquin Catalan,Catalan,Catalan
Maltese,Maltese,Maltese
Maltese (talks English at home),"Maltese, English","Maltese, English"
Maltese (very little English),"Maltese, English","Maltese, English"
Maltese +  English,"Maltese, English","Maltese, English"
Maltese + English,"Maltese, English","Maltese, English"
Maltese + Italian,"Maltese, Italian","Maltese, Italian"
Maltese / English,"Maltese, English","Maltese, English"
Maltese / English / Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese / some Italian,"Maltese, Italian","Maltese, Italian"
Maltese English,Maltese English,Maltese English
Maltese and English,"Maltese, English","Maltese, English"
Maltese&Italian,"Maltese, Italian","Maltese, Italian"
"Maltese,
English","Maltese, English","Maltese, English"
"Maltese, Arabic","Maltese, Arabic","Maltese, Arabic"
"Maltese, English","Maltese, English","Maltese, English"
"Maltese, English, Italian","Maltese, English, Italian","Maltese, English, Italian"
"Maltese, French","Maltese, French","Maltese, French"
"Maltese, Gozitan","Maltese, Gozitan","Maltese, Gozitan"
"Maltese, Italian","Maltese, Italian","Maltese, Italian"
Maltese/ English,"Maltese, English","Maltese, English"
Maltese/English,"Maltese, English","Maltese, English"
Maltese/English/Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese/Gozetan,"Maltese, Gozetan","Maltese, Gozetan"
Maltese/Italian,"Maltese, Italian","Maltese, Italian"
Maltese; Arabic,"Maltese, Arabic","Maltese, Arabic"
Maltese; English,"Maltese, English","Maltese, English"
Maltese; English; Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese; Englsih,"Maltese, Englsih","Maltese, Englsih"
Maltese; Italian,"Maltese, Italian","Maltese, Italian"
Mandarin,Mandarin,Mandarin
"Mandarin, Chinese","Mandarin, Chinese","Mandarin, Chinese"
Mandarin/English,"Mandarin, English","Mandarin, English"
Manipuri,Manipuri,Manipuri
Marathi,Marathi,Marathi
Maroccan,Maroccan,Moroccan
"Maroccan, Arabic, Spanish","Maroccan, Arabic, Spanish","Moroccan, Arabic, Spanish"
"Marrocan, Spanish","Marrocan, Spanish","Moroccan, Spanish"
Maya,Maya,Maya
Mexican/Caucasian,"Mexican, Caucasian",Mexican
Mix,NA,NA
Mongolian,Mongolian,Mongolian
Montenegrin,Montenegrin,Montenegrin
Moroccan,Moroccan,Moroccan
"Mostly
English, but
some
Maltese","English, Maltese","English, Maltese"
"Mostly
English, but
some
Maltese; + Italian","English, Maltese, Italian","English, Maltese, Italian"
Mostly English / some Maltese,"English, Maltese","English, Maltese"
Mostly English / some Maltese / French,"English, Maltese, French","English, Maltese, French"
Mostly English / some Maltese / Italian,"English, Maltese, Italian","English, Maltese, Italian"
Mostly English / some Maltese / Italian / German / French,"English, Maltese, Italian, German, French","English, Maltese, Italian, German, French"
"Mostly English, but some Maltese","English, Maltese","English, Maltese"
"Mostly English, but some Maltese; Serbo-Croat","English, Maltese, Serbo-Croat","English, Maltese, Serbo-Croatian"
"Mostly English, some Maltese","English, Maltese","English, Maltese"
"Mostly English, some Maltese, some Italian","English, Maltese, Italian","English, Maltese, Italian"
"Mostly Macedonian, some English","Macedonian, English","Macedonian, English"
Mostly Maltese / some English,"Maltese, English","Maltese, English"
Mostly Maltese / some English / Italian,"Maltese, English, Italian","Maltese, English, Italian"
Mostly Maltese / some English / Turkish,"Maltese, English, Turkish","Maltese, English, Turkish"
"Mostly Maltese, but some English","Maltese, English","Maltese, English"
"Mostly Maltese, but some English; French","Maltese, English, French","Maltese, English, French"
"Mostly Maltese, but some English; Italian","Maltese, English, Italian","Maltese, English, Italian"
"Mostly Maltese, but some English; some Italian","Maltese, English, Italian","Maltese, English, Italian"
"Mostly Maltese, some English","Maltese, English","Maltese, English"
Mostly Slovenian / some English,"Slovenian, English","Slovenian, English"
"Mostly Spanish, some English","Spanish, English","Spanish, English"
Nepali,Nepali,Nepali
Nigerian+English,"Nigerian, English","Nigerian, English"
Norwegian,Norwegian,Norwegian
Notul,NA,Notul
Odiya,Odiya,Odiya
Other,NA,NA
"Other (Scots, Gaelic, English)","Scots, Gaelic, English","Scots, Gaelic, English"
Other (Shetland dialect),Shetland,Shetland
"Other(Mostly English, but also Maltese and Dutch)","English, Maltese, Dutch","English, Maltese, Dutch"
Pahadi-Hindi,Pahadi-Hindi,Pahadi-Hindi
Pahari,Pahari,Pahari
Patois,Patois,Patois
Persian,Persian,Persian
Persian (Farsi),"Persian, Farsi","Persian, Farsi"
Philippino,Philippino,Filipino
"Phillipin, English, Slovene","Phillipin, English, Slovene","Filipino, English, Slovene"
Police,Polish,Polish
Polish,Polish,Polish
"Polish, English","Polish, English","Polish, English"
"Polish, Swedish","Polish, Swedish","Polish, Swedish"
Polish/German,"Polish, German","Polish, German"
Poonchi,Poonchi,Poonchi
Portugese,Portugese,Portuguese
Portuguese,Portuguese,Portuguese
"Portuguese, English since he's 6 years old","Portuguese, English","Portuguese, English"
"Portuguese, Spanish","Portuguese, Spanish","Portuguese, Spanish"
Portuguese/German,"Portuguese, German","Portuguese, German"
Prsian,Prsian,Persian
Puerto Rican,Puerto Rican,Puerto Rican
Punjabi,Punjabi,Punjabi
Punjabi (Multani),"Punjabi, Multani",Punjabi
"Punjabi, Hindi","Punjabi, Hindi","Punjabi, Hindi"
"Punjabi,Hindi","Punjabi,Hindi","Punjabi, Hindi"
Romanian,Romanian,Romanian
"Romanian, English","Romanian, English","Romanian, English"
Russian,Russian,Russian
"Russian, English","Russian, English","Russian, English"
"Russian, Ukrainian","Russian, Ukrainian","Russian, Ukrainian"
"Russian, Ukranian","Russian, Ukranian","Russian, Ukrainian"
"Russian, with friends E",Russian,"Russian, English"
Russian/Tartarian,"Russian, Tartarian","Russian, Tartarian"
Russian/Ukrainian,"Russian, Ukrainian","Russian, Ukrainian"
S,NA,NA
Sal,Sal,Sal
Scotland,Scotland,English
Scots,Scots,Scots
Scots English,Scots English,English
"Scots, English","Scots, English","Scots, English"
Scots/English,"Scots, English","Scots, English"
Scottish,Scottish,English
Scottish English,Scottish English,English
Scottish/English,"Scottish, English","Scottish, English"
Serbia,Serbia,Serbian
Serbian,Serbian,Serbian
"Serbian, English, Maltese","Serbian, English, Maltese","Serbian, English, Maltese"
"Serbian, Slovenian","Serbian, Slovenian","Serbian, Slovenian"
Serbo-Croat,Serbo-Croat,Serbo-Croatian
Serbo-Croatian,Serbo-Croatian,Serbo-Croatian
Serbocroatian,NA,Serbo-Croatian
Serquais,Serquais,Serquais
Shetland dialect,Shetland,Shetland
Shona,Shona,Shona
Sicilian; Italian,"Sicilian, Italian","Sicilian, Italian"
Slovack,Slovack,Slovak
Slovak,Slovak,Slovak
Slovene,Slovene,Slovene
Slovene Italian,Slovene Italian,Slovene Italian
"Slovene, Croatian","Slovene, Croatian","Slovene, Croatian"
"Slovene, German","Slovene, German","Slovene, German"
"Slovene, Serbo-Croatian","Slovene, Serbo-Croatian","Slovene, Serbo-Croatian"
Slovenian,Slovenian,Slovenian
"Slovenian, Bosnian","Slovenian, Bosnian","Slovenian, Bosnian"
"Slovenian, Croatian","Slovenian, Croatian","Slovenian, Croatian"
"Slovenian, Croatian, Italian","Slovenian, Croatian, Italian","Slovenian, Croatian, Italian"
"Slovenian, English","Slovenian, English","Slovenian, English"
"Slovenian, English, Serbo-Croatian","Slovenian, English, Serbo-Croatian","Slovenian, English, Serbo-Croatian"
"Slovenian, German","Slovenian, German","Slovenian, German"
"Slovenian, German, Croatian","Slovenian, German, Croatian","Slovenian, German, Croatian"
"Slovenian, Hungarian","Slovenian, Hungarian","Slovenian, Hungarian"
"Slovenian, Italian","Slovenian, Italian","Slovenian, Italian"
"Slovenian, Italian, Croatian","Slovenian, Italian, Croatian","Slovenian, Italian, Croatian"
"Slovenian, Macedonian","Slovenian, Macedonian","Slovenian, Macedonian"
"Slovenian, Serbian","Slovenian, Serbian","Slovenian, Serbian"
"Slovenian, Serbo-Croatian","Slovenian, Serbo-Croatian","Slovenian, Serbo-Croatian"
"Slovenian, mostly English / some Slovenian","Slovenian, English, Slovenian","Slovenian, English"
"Slovenian, some Italian","Slovenian, Italian","Slovenian, Italian"
"Slovinian, Bosnian","Slovinian, Bosnian","Slovenian, Bosnian"
"Sorbian, German","Sorbian, German","Sorbian, German"
South Africa,South Africa,South Africa
South African-English; English-English,"South African-English, English-English","South African-English, English"
Spanih,Spanih,Spanish
Spanisch+English,"Spanisch, English","Spanish, English"
Spanish,Spanish,Spanish
Spanish Italien,Spanish Italien,Spanish Italian
Spanish and English,"Spanish, English","Spanish, English"
Spanish+English,"Spanish, English","Spanish, English"
"Spanish,  English","Spanish, English","Spanish, English"
"Spanish, Basque","Spanish, Basque","Spanish, Basque"
"Spanish, Catalan","Spanish, Catalan","Spanish, Catalan"
"Spanish, Catalan (Majorcan, Alaró)","Spanish, Catalan","Spanish, Catalan"
"Spanish, Catalan (Mallorcan)","Spanish, Catalan","Spanish, Catalan"
"Spanish, Catalan (Mallorqui)","Spanish, Catalan","Spanish, Catalan"
"Spanish, Catalan (Mallorquin)","Spanish, Catalan","Spanish, Catalan"
"Spanish, Catalan (Mallorquin), English","Spanish, Catalan","Spanish, Catalan, English"
"Spanish, Catalan, English","Spanish, Catalan","Spanish, Catalan, English"
"Spanish, Creole","Spanish, Creole","Spanish, Creole"
"Spanish, English","Spanish, English","Spanish, English"
"Spanish, French","Spanish, French","Spanish, French"
"Spanish, French, Arabic","Spanish, French, Arabic","Spanish, French, Arabic"
"Spanish, Swedish","Spanish, Swedish","Spanish, Swedish"
"Spanish, Valencian","Spanish, Valencian","Spanish, Valencian"
"Spanish/
English","Spanish, English","Spanish, English"
Spanish/English,"Spanish, English","Spanish, English"
Spansih,,Spanish
Swahili / English,"Swahili, English","Swahili, English"
Swedish,Swedish,Swedish
"Swedish, Arabic","Swedish, Arabic","Swedish, Arabic"
"Swedish, Bosnian","Swedish, Bosnian","Swedish, Bosnian"
"Swedish, Bulgarian","Swedish, Bulgarian","Swedish, Bulgarian"
"Swedish, Czech","Swedish, Czech","Swedish, Czech"
"Swedish, Dutch","Swedish, Dutch","Swedish, Dutch"
"Swedish, English","Swedish, English","Swedish, English"
"Swedish, Finnish","Swedish, Finnish","Swedish, Finnish"
"Swedish, Flamish","Swedish, Flamish","Swedish, Flamish"
"Swedish, German","Swedish, German","Swedish, German"
"Swedish, German, Spanish","Swedish, German, Spanish","Swedish, German, Spanish"
"Swedish, Italian","Swedish, Italian","Swedish, Italian"
"Swedish, Persian","Swedish, Persian","Swedish, Persian"
"Swedish, Spanish","Swedish, Spanish","Swedish, Spanish"
"Swedish, Thai","Swedish, Thai","Swedish, Thai"
Swiss,Swiss,Swiss-German
Swiss German,"Swiss, German",Swiss-German
Swiss-German,Swiss-German,Swiss-German
Tagalog,Tagalog,Tagalog
"Tagalog, French","Tagalog, French","Tagalog, French"
Tamil,Tamil,Tamil
Tartarian,Tartarian,Tartarian
Thai,Thai,Thai
Tigrinya,Tigrinya,Tigrinya
Tongan,Tongan,Tongan
Tongan/Samoan,"Tongan, Samoan","Tongan, Samoan"
Trinidadian English,Trinidadian English,English
Tunasine,Tunasine,Tunasine
Turkish,Turkish,Turkish
Turkish/German (only with brother),"Turkish, German","Turkish, German"
Twi,NA,Twi
Ugandan,Ugandan,Ugandan
Uighurish,Uighurish,Uyghur
Uigurish,Uigurish,Uyghur
Ukrainian,Ukrainian,Ukrainian
"Ukrainian, English","Ukrainian, English","Ukrainian, English"
"Ukrainian, Russian","Ukrainian, Russian","Ukrainian, Russian"
Ukranian,Ukranian,Ukrainian
Urdu,Urdu,Urdu
"Urdu, Punjabi, English","Urdu, Punjabi, English","Urdu, Punjabi, English"
Urhobo,Urhobo,Urhobo
Uzbek,Uzbek,Uzbek
"Uzbek, Russian","Uzbek, Russian","Uzbek, Russian"
Vietnamese,Vietnamese,Vietnamese
Welsh,Welsh,Welsh
Welsh English,Welsh English,English
"Welsh, English","Welsh, English","Welsh, English"
Welsh/English,"Welsh, English","Welsh, English"
Yanito,Yanito,Yanito
"Yanito, English","Yanito, English","Yanito, English"
"Yanito, English, Spanish","Yanito, English, Spanish","Yanito, English, Spanish"
"Yanito, some English","Yanito, English","Yanito, English"
Yoruba,Yoruba,Yoruba
"Yoruba, Nig. English","Yoruba, Nig, English","Yoruba, English"
Yugoslavian,Yugoslavian,Yugoslavian
Zulu,Zulu,Zulu
both English + Maltese equally,"English, Maltese","English, Maltese"
both English and Maltese,"English, Maltese","English, Maltese"
both English and Spanish,"English, Spanish","English, Spanish"
both spanish and english fluently,NA,"Spanish, English"
equally English and Scots,"English, Scots","English, Scots"
local language,NA,NA
"moslty Maltese, some English","Maltese, English","Maltese, English"
"mostly  Spanish, some English","Spanish, English","Spanish, English"
mostly Catalan (Majorcan)/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Catalan (Mallorcan)/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Catalan (Mallorquin)/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Catalan (Menorca (El Castell))/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Catalan (Menorcan)/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Catalan/ some Spanish,"Catalan, Spanish","Catalan, Spanish"
mostly Danish / some English,"Danish, English","Danish, English"
"mostly Danish / some English, Polish, German","Danish, English, Polish, German","Danish, English, Polish, German"
"mostly English
+ some Spanish","English, Spanish","English, Spanish"
mostly English + some Spanish,"English, Spanish","English, Spanish"
mostly English / some Danish,"English, Danish","English, Danish"
mostly English / some German,"English, German","English, German"
mostly English / some German / Chinese,"English, German, Chinese","English, German, Chinese"
mostly English / some Maltese,"English, Maltese","English, Maltese"
"mostly English / some Maltese, German","English, Maltese, German","English, Maltese, German"
"mostly English / some Maltese, arabic","English, Maltese","English, Maltese"
mostly English / some Scots,"English, Scots","English, Scots"
mostly English / some Scots / Spanish,"English, Scots, Spanish","English, Scots, Spanish"
mostly English / some Slovenian,"English, Slovenian","English, Slovenian"
mostly English / some Spanish,"English, Spanish","English, Spanish"
"mostly English / some Spanish, Arabic","English, Spanish, Arabic","English, Spanish, Arabic"
mostly English / some Swedish,"English, Swedish","English, Swedish"
mostly English some Maltese,"English, Maltese","English, Maltese"
mostly English some Spanish,"English, Spanish","English, Spanish"
"mostly English, but some Maltese","English, Maltese","English, Maltese"
"mostly English, some French","English, French","English, French"
"mostly English, some Hawaiian","English, Hawaiian","English, Hawaiian"
"mostly English, some Maltese","English, Maltese","English, Maltese"
"mostly English, some Maltese and Italian","English, Maltese, Italian","English, Maltese, Italian"
"mostly English, some Maltese, German","English, Maltese, German","English, Maltese, German"
"mostly English, some Maltese, Italian","English, Maltese, Italian","English, Maltese, Italian"
"mostly English, some Maltese, Turkish","English, Maltese, Turkish","English, Maltese, Turkish"
"mostly English, some Scots","English, Scots","English, Scots"
"mostly English, some Spamish","English, Spamish","English, Spanish"
"mostly English, some Spanish","English, Spanish","English, Spanish"
"mostly English, some Spanish, French","English, Spanish, French","English, Spanish, French"
"mostly English, some Spanish, German","English, Spanish, German","English, Spanish, German"
"mostly English, some Spanish, Portuguese","English, Spanish, Portuguese","English, Spanish, Portuguese"
"mostly Enlish, some Scots","Enlish, Scots","English, Scots"
mostly German / some English,"German, English","German, English"
mostly German / some English / some Turkish,"German, English, Turkish","German, English, Turkish"
"mostly German / some English, other (French)","German, English, French","German, English, French"
mostly German 2 English. Thai,"German, English, Thai","German, English, Thai"
mostly German some English,"German, English","German, English"
"mostly German, some Turkish","German, Turkish","German, Turkish"
mostly Maltese,Maltese,Maltese
mostly Maltese + some English,"Maltese, English","Maltese, English"
mostly Maltese / some English,"Maltese, English","Maltese, English"
"mostly Maltese / some English, Italian","Maltese, English, Italian","Maltese, English, Italian"
mostly Maltese some English,"Maltese, English","Maltese, English"
"mostly Maltese some English, Italian","Maltese, English, Italian","Maltese, English, Italian"
mostly Maltese+some English,"Maltese, English","Maltese, English"
"mostly Maltese, but some English","Maltese, English","Maltese, English"
"mostly Maltese, but some English, Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltese, some English","Maltese, English","Maltese, English"
"mostly Maltese, some English + Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltese, some English and Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltese, some English and some Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltese, some English, Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltese, some English, some Italian","Maltese, English, Italian","Maltese, English, Italian"
"mostly Maltesem, but some English","Maltesem, English","Maltese, English"
"mostly Romanian, some German","Romanian, German","Romanian, German"
mostly Scots,Scots,Scots
mostly Scots / some English,"Scots, English","Scots, English"
"mostly Scots, some English","Scots, English","Scots, English"
mostly Slovenian / some English,"Slovenian, English","Slovenian, English"
mostly Slovenian / some English and some Italian,"Slovenian, English, Italian","Slovenian, English, Italian"
"mostly Slovenian / some English, Spanish","Slovenian, English, Spanish","Slovenian, English, Spanish"
"mostly Spanish
+  some English","Spanish, English","Spanish, English"
"mostly Spanish
+ some English","Spanish, English","Spanish, English"
"mostly Spanish
some English","Spanish, English","Spanish, English"
mostly Spanish / some English,"Spanish, English","Spanish, English"
"mostly Spanish / some English, Korean","Spanish, English, Korean","Spanish, English, Korean"
mostly Spanish some English,"Spanish, English","Spanish, English"
"mostly Spanish, 
some English","Spanish, English","Spanish, English"
"mostly Spanish,  some English","Spanish, English","Spanish, English"
"mostly Spanish, some English","Spanish, English","Spanish, English"
"mostly Spanish, some English, Arabic, French","Spanish, English, Arabic, French","Spanish, English, Arabic, French"
"mostly Spanish, some English, Moroccan","Spanish, English, Moroccan","Spanish, English, Moroccan"
"mostly Spanish, some English, Yanito","Spanish, English, Yanito","Spanish, English, Yanito"
mostly Spanish/ some Catalan,"Spanish, Catalan","Spanish, Catalan"
mostly Spanish/ some Catalan (Mallorqui),"Spanish, Catalan","Spanish, Catalan"
mostly Spanish/ some Catalan (Mallorquin),"Spanish, Catalan","Spanish, Catalan"
"mostly Spanish/ some Catalan, French","Spanish, Catalan, French","Spanish, Catalan, French"
"mostly Spansih, some Englilsh","Spansih, Englilsh","Spanish, English"
"mostly Spansih, some English","Spansih, English","Spanish, English"
mostly Swedish / some English,"Swedish, English","Swedish, English"
mostly Swedish / some English / Thai,"Swedish, English, Thai","Swedish, English, Thai"
"mostly Swedish / some English, Norwegian","Swedish, English, Norwegian","Swedish, English, Norwegian"
"mostly Swedish / some English, Spanish","Swedish, English, Spanish","Swedish, English, Spanish"
"mostly Yanito, some English","Yanito, English","Yanito, English"
"other (Amharic), English, German","Amharic, English, German","Amharic, English, German"
"other (Arabic, Turkish), German","Arabic, Turkish, German","Arabic, Turkish, German"
"other (Bosnian, Serbo-Croatian)","Bosnian, Serbo-Croatian","Bosnian, Serbo-Croatian"
other (Chinese),Chinese,Chinese
"other (Dutch, Persian), German","Dutch, Persian, German","Dutch, Persian, German"
other (Equal parts English and Spanish),"English, Spanish","English, Spanish"
other (German),German,German
other (Italian),Italian,Italian
"other (Italian), German","Italian, German","Italian, German"
other (Mandarin),Mandarin,Mandarin
other (Moroccan),Moroccan,Moroccan
"other (Polish), German","Polish, German","Polish, German"
"other (Romanian), German","Romanian, German","Romanian, German"
"other (Russian), German","Russian, German","Russian, German"
"other (Russian), some German","Russian, German","Russian, German"
"other (Russian, Ukrainian)","Russian, Ukrainian","Russian, Ukrainian"
other (Serbian),Serbian,Serbian
"other (Spanish), German","Spanish, German","Spanish, German"
other (Tagalog),Tagalog,Tagalog
"other (Tigrinya), some German","Tigrinya, German","Tigrinya, German"
other (Uighurish),NA,Uyghur
other (Ukrainian),Ukrainian,Ukrainian
other (Ukranian),Ukranian,Ukrainian
other (Vietnamese),Vietnamese,Vietnamese
"other (initially spoke Spanish, later switched to English. Parents, however, still spoke Spanish)","Spanish, Spanish",Spanish
"some Spanish, mostly Hebrew","Spanish, Hebrew","Spanish, Hebrew"
unspecified,NA,NA
